sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬公,澎湖縣,64,臭氧八小時,普通,0.6,0.36,62,59.1,40,21,4.8,5.9,1.1,7,25,"2023/04/07 22:00:00",0.3,17,28,0,119.566158,23.569031,78
關山,臺東縣,39,,良好,1,0.34,48,42.9,13,12,3.6,4.4,0.7,1.6,40,"2023/04/07 22:00:00",0.3,6,10,0,121.161933,23.045083,80
麥寮,雲林縣,,,,,,,,,,,,,,,"2023/04/07 22:00:00",,,,,120.251825,23.753506,83
富貴角,新北市,100,臭氧八小時,普通,0,0.32,73.1,70.1,74,31,2.7,2.7,0,6.6,69,"2023/04/07 22:00:00",0.3,25,54,0,121.53656894,25.29681695,84
大城,彰化縣,63,細懸浮微粒,普通,1,0.34,51.6,53.2,39,19,5.4,6.8,1.4,8.4,34,"2023/04/07 22:00:00",0.3,20,39,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,53,細懸浮微粒,普通,1.4,0.44,35.3,38.6,29,26,13.7,15,1.2,1,358,"2023/04/07 22:00:00",0.4,16,26,1,120.56373,23.96117,201
高雄(湖內),高雄市,66,細懸浮微粒,普通,1.4,0.59,19.3,42.7,45,23,20.8,22.4,1.6,1,301,"2023/04/07 22:00:00",0.5,21,43,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,67,細懸浮微粒,普通,1.1,0.42,32.1,43.4,35,21,11.3,11.2,0,2.4,352,"2023/04/07 22:00:00",0.4,21,42,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,44,,良好,0.5,0.33,38.9,43.4,14,11,3.4,3.6,0.1,0.3,153,"2023/04/07 22:00:00",0.3,13,20,0,120.37722,22.35222,204
桃園(三民),桃園市,65,細懸浮微粒,普通,0.1,0.45,55,44.3,46,25,7.5,7.6,0,1.2,65,"2023/04/07 22:00:00",0.5,21,37,0,121.31788148,25.00132736,310
新北(樹林),新北市,70,細懸浮微粒,普通,0.7,0.37,36.9,31.2,35,26,7.6,8.6,1,0.5,135,"2023/04/07 22:00:00",0.4,23,35,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,35,,良好,0,0.35,41,38.2,4,3,3,2.8,0,6.6,101,"2023/04/07 22:00:00",0.3,3,4,0,120.651472,22.260899,313
